,County,State,City,Pollutant,Date,total_population,cumulative_cases,cumulative_deaths,new_cases,new_deaths
80,Tuscaloosa,Alabama,Tuscaloosa,8.1,2020-01-31,206213.0,0,0,0.0,0.0
81,Tuscaloosa,Alabama,Tuscaloosa,5.3,2020-02-03,206213.0,0,0,0.0,0.0
82,Tuscaloosa,Alabama,Tuscaloosa,5.1,2020-02-09,206213.0,0,0,0.0,0.0
83,Tuscaloosa,Alabama,Tuscaloosa,5.1,2020-02-12,206213.0,0,0,0.0,0.0
84,Tuscaloosa,Alabama,Tuscaloosa,3.8,2020-02-15,206213.0,0,0,0.0,0.0
85,Tuscaloosa,Alabama,Tuscaloosa,3.0,2020-02-18,206213.0,0,0,0.0,0.0
86,Tuscaloosa,Alabama,Tuscaloosa,4.7,2020-02-21,206213.0,0,0,0.0,0.0
87,Tuscaloosa,Alabama,Tuscaloosa,8.5,2020-02-24,206213.0,0,0,0.0,0.0
88,Russell,Alabama,Phenix City,7.7,2020-01-22,58213.0,0,0,,
89,Russell,Alabama,Phenix City,7.6,2020-01-22,58213.0,0,0,,
90,Russell,Alabama,Phenix City,7.4,2020-01-22,58213.0,0,0,,
91,Russell,Alabama,Phenix City,4.7,2020-01-25,58213.0,0,0,0.0,0.0
92,Russell,Alabama,Phenix City,4.8,2020-01-25,58213.0,0,0,0.0,0.0
93,Russell,Alabama,Phenix City,4.7,2020-01-25,58213.0,0,0,0.0,0.0
94,Russell,Alabama,Phenix City,8.5,2020-01-28,58213.0,0,0,0.0,0.0
95,Russell,Alabama,Phenix City,8.4,2020-01-28,58213.0,0,0,0.0,0.0
96,Russell,Alabama,Phenix City,7.4,2020-01-28,58213.0,0,0,0.0,0.0
97,Russell,Alabama,Phenix City,4.4,2020-01-31,58213.0,0,0,0.0,0.0
98,Russell,Alabama,Phenix City,4.3,2020-01-31,58213.0,0,0,0.0,0.0
99,Russell,Alabama,Phenix City,5.5,2020-01-31,58213.0,0,0,0.0,0.0
100,Russell,Alabama,Phenix City,7.4,2020-02-03,58213.0,0,0,0.0,0.0
101,Russell,Alabama,Phenix City,7.3,2020-02-03,58213.0,0,0,0.0,0.0
102,Russell,Alabama,Phenix City,8.0,2020-02-03,58213.0,0,0,0.0,0.0
