,County,State,City,Pollutant,Date
338,Maricopa,Arizona,Phoenix,2.4,2020-03-18
339,Maricopa,Arizona,Phoenix,2.5,2020-03-19
340,Maricopa,Arizona,Phoenix,6.5,2020-03-20
341,Maricopa,Arizona,Phoenix,5.7,2020-03-21
342,Maricopa,Arizona,Phoenix,8.1,2020-03-22
343,Maricopa,Arizona,Phoenix,5.7,2020-03-23
344,Maricopa,Arizona,Phoenix,3.6,2020-03-24
345,Maricopa,Arizona,Phoenix,2.8,2020-03-25
346,Maricopa,Arizona,Phoenix,1.7,2020-03-26
347,Maricopa,Arizona,Phoenix,3.1,2020-03-27
348,Maricopa,Arizona,Phoenix,5.8,2020-03-28
349,Maricopa,Arizona,Phoenix,6.3,2020-03-29
350,Maricopa,Arizona,Phoenix,4.5,2020-03-30
351,Maricopa,Arizona,Phoenix,6.3,2020-03-31
352,Maricopa,Arizona,Glendale,8.8,2020-01-22
353,Maricopa,Arizona,Glendale,13.3,2020-01-23
354,Maricopa,Arizona,Glendale,8.8,2020-01-24
355,Maricopa,Arizona,Glendale,10.9,2020-01-25
356,Maricopa,Arizona,Glendale,14.1,2020-01-26
357,Maricopa,Arizona,Glendale,8.2,2020-01-27
358,Maricopa,Arizona,Glendale,5.8,2020-01-28
359,Maricopa,Arizona,Glendale,5.9,2020-01-29
360,Maricopa,Arizona,Glendale,2.4,2020-01-30
361,Maricopa,Arizona,Glendale,3.3,2020-01-31
362,Pima,Arizona,Tucson,3.1,2020-01-22
363,Pima,Arizona,Tucson,4.1,2020-01-23
364,Pima,Arizona,Tucson,3.2,2020-01-24
365,Pima,Arizona,Tucson,3.7,2020-01-25
366,Pima,Arizona,Tucson,4.0,2020-01-26
367,Pima,Arizona,Tucson,2.3,2020-01-27
368,Pima,Arizona,Tucson,2.3,2020-01-28
369,Pima,Arizona,Tucson,0.9,2020-01-29
370,Pima,Arizona,Tucson,1.7,2020-01-30
371,Pima,Arizona,Tucson,2.2,2020-01-31
372,Pima,Arizona,Tucson,2.8,2020-02-01
373,Pima,Arizona,Tucson,1.2,2020-02-02
374,Pima,Arizona,Tucson,3.3,2020-02-03
375,Pima,Arizona,Tucson,1.4,2020-02-04
376,Pima,Arizona,Tucson,6.0,2020-02-05
377,Pima,Arizona,Tucson,6.0,2020-02-06
378,Pima,Arizona,Tucson,2.9,2020-02-07
379,Pima,Arizona,Tucson,4.0,2020-02-08
380,Pima,Arizona,Tucson,1.5,2020-02-09
381,Pima,Arizona,Tucson,2.0,2020-02-10
382,Pima,Arizona,Tucson,0.3,2020-02-11
383,Pima,Arizona,Tucson,0.7,2020-02-12
384,Pima,Arizona,Tucson,2.2,2020-02-13
385,Pima,Arizona,Tucson,3.4,2020-02-14
386,Pima,Arizona,Tucson,3.3,2020-02-15
387,Pima,Arizona,Tucson,4.0,2020-02-16
388,Pima,Arizona,Tucson,2.0,2020-02-17
389,Pima,Arizona,Tucson,3.9,2020-02-18
390,Pima,Arizona,Tucson,5.6,2020-02-19
391,Pima,Arizona,Tucson,5.0,2020-02-20
392,Pima,Arizona,Tucson,2.5,2020-02-21
393,Pima,Arizona,Tucson,-0.5,2020-02-22
394,Pima,Arizona,Tucson,1.5,2020-02-23
395,Pima,Arizona,Tucson,3.3,2020-02-24
396,Pima,Arizona,Tucson,3.1,2020-02-25
397,Pima,Arizona,Tucson,1.6,2020-02-26
398,Pima,Arizona,Tucson,2.5,2020-02-27
399,Pima,Arizona,Tucson,2.2,2020-02-28
400,Pima,Arizona,Tucson,0.9,2020-02-29
401,Pima,Arizona,Tucson,0.2,2020-03-01
402,Pima,Arizona,Tucson,1.8,2020-03-02
403,Pima,Arizona,Tucson,2.0,2020-03-03
404,Pima,Arizona,Tucson,1.5,2020-03-04
405,Pima,Arizona,Tucson,1.6,2020-03-05
406,Pima,Arizona,Tucson,0.5,2020-03-06
407,Pima,Arizona,Tucson,1.7,2020-03-07
408,Pima,Arizona,Tucson,0.5,2020-03-08
409,Pima,Arizona,Tucson,1.7,2020-03-09
410,Pima,Arizona,Tucson,1.0,2020-03-10
411,Pima,Arizona,Tucson,0.9,2020-03-11
412,Pima,Arizona,Tucson,1.2,2020-03-12
413,Pima,Arizona,Tucson,0.5,2020-03-13
414,Pima,Arizona,Tucson,2.0,2020-03-14
415,Pima,Arizona,Tucson,1.9,2020-03-15
416,Pima,Arizona,Tucson,1.4,2020-03-16
417,Pima,Arizona,Tucson,1.3,2020-03-17
418,Pima,Arizona,Tucson,1.0,2020-03-18
419,Pima,Arizona,Tucson,1.9,2020-03-19
420,Pima,Arizona,Tucson,2.0,2020-03-20
421,Pima,Arizona,Tucson,2.2,2020-03-21
422,Pima,Arizona,Tucson,2.3,2020-03-22
423,Pima,Arizona,Tucson,1.9,2020-03-23
424,Pima,Arizona,Tucson,-0.6,2020-03-24
425,Pima,Arizona,Tucson,0.0,2020-03-25
426,Pima,Arizona,Tucson,0.9,2020-03-26
427,Pima,Arizona,Tucson,1.5,2020-03-27
428,Pima,Arizona,Tucson,0.8,2020-03-28
429,Pima,Arizona,Tucson,-0.9,2020-03-29
430,Pima,Arizona,Tucson,1.0,2020-03-30
431,Pima,Arizona,Tucson,2.0,2020-03-31
432,Maricopa,Arizona,Tempe,8.4,2020-01-22
433,Maricopa,Arizona,Tempe,9.5,2020-01-23
434,Maricopa,Arizona,Tempe,8.3,2020-01-24
435,Maricopa,Arizona,Tempe,10.4,2020-01-25
436,Maricopa,Arizona,Tempe,12.1,2020-01-26
437,Maricopa,Arizona,Tempe,8.8,2020-01-27
438,Maricopa,Arizona,Tempe,4.7,2020-01-28
439,Maricopa,Arizona,Tempe,6.3,2020-01-29
440,Maricopa,Arizona,Tempe,3.6,2020-01-30
441,Maricopa,Arizona,Tempe,7.7,2020-01-31
442,Santa Cruz,Arizona,Nogales,1.1,2020-01-22
443,Santa Cruz,Arizona,Nogales,4.1,2020-01-23
444,Santa Cruz,Arizona,Nogales,13.2,2020-01-24
445,Santa Cruz,Arizona,Nogales,16.9,2020-01-25
446,Santa Cruz,Arizona,Nogales,19.2,2020-01-26
447,Santa Cruz,Arizona,Nogales,8.5,2020-01-27
448,Santa Cruz,Arizona,Nogales,8.5,2020-01-28
